"I'm not sure.",ちょっとわからないな。
"Go wash your face.",顔あらってきて。
"I'm off to the convenience store.",コンビニに行ってきます。
"I got to school on time.",学校に時間ぴったりにつきました。
"Go ahead and use mine",どうぞ、私のを使って。
"That's mine, right?",これ、私のだよね？
"Sit properly.",ちゃんと座って。
"Stay away from me!",近づいちゃダメ。
"Don’t be mean !",いじわるしないで！
"Keep hydrated.",水分きちんととってね。
"Mind your manners.",しっかり、行儀よくしなさい。
"About how much was it?",大体いくらですか？
"How was your day?",どんな1日でしたか？
"I'm on the way home",私は家に帰る途中です
"Tell me what you know",知っていることを話して。
"Does it taste good?",おいしいですか？
"It's almost time for dinner",そろそろ夕食の時間だよ。
"I'm gonna be late.",ちょっと遅れそう。
"What are you doing now?",今何してるんですか？
"What do you think about it ?",君はどう思う？
"Less noise please.",もっと静かにして下さい。
"Do you want to play?",遊びたいの？
"That's a waste of time",時間のムダだよ。
"Do you see it?",分かりましたか？
"That’s all I know about it.",それ以上のことは分かりません。
"I'm mad at myself.",自分に腹が立つ。
"I'm not good with people.",人付き合いが苦手。
"I didn't catch that.",聞き取れませんでした。
"I'll get a towel.",タオルをとる。
"I'm brushing my teeth.",歯を磨いています。
"Where are my glasses?",あれメガネは？
"What a pain!",面倒くさい！
"The story made me sad.",その物語を読んで悲しくなった。
"What should I have?",何にしようかなあ？
"Please pass me the salt.",塩を取ってください。
"Does anyone disagree?",反対する人はいますか？
"Just do what you can.",だいたいでいいよ。
"Can you help me?",私を助けてくれますか？
"I have a good idea.",いい考えがあります。
"Please make the bed.",ベッドを直してね。
"The bus was crowded.",そのバスは混んでいました。
"I'm the type of person who will get better by being praised",私は褒められて伸びるタイプです。
"Do good looks bring people benefits?",見た目がいい方が得をしますか？
"You need some time away from work.",少しは仕事を忘れる時間も必要です。
"There is not much more I can do.",これ以上、打つ手がありません。
"Please let me sleep on my day off.",休日くらいはゆっくり寝かせてください。
"The boy acknowledged having lied.",その少年は嘘をついていたことを認めました。
"Make sure you take your belongings with you.",自分の持ち物を必ず持っていってください。
"Speaking of travel, have you ever been to Canada?",旅行と言えば、カナダに行ったことある？
"Don't put off till tomorrow what you can do today.",今日できることを明日まで延ばすな。
"I was caught in a traffic jam on my way to work.",会社の途中で渋滞に引っ掛かった。
"That hairstyle takes five years off of you.",その髪型だと5歳は若く見えます。
"Nothing can beat a cold beer after work.",仕事の後の冷えたビールに勝るものはない。
"Get on the next train at platform number 2.",プラットフォーム2番で次の電車に乗ってください。
"That title of the movie just came back to me.",その映画のタイトル、やっと思い出しました。
"I think we have never spoken before.",一度もお話したことないですよね。
"It's easy to get sick when the seasons change.",季節の変わり目は体調を崩しやすいですよね。
"How do you celebrate Christmas in Australia?",オーストラリアのクリスマスってどんな感じですか？
"I have a good friend who has that name.",あなたと同じ名前の仲の良い友達がいます。
"This is the biggest river that I've ever seen.",今までに見た中で一番大きい川です。
"You will soon adapt yourself to this new life.",すぐにこの新しい生活に慣れるでしょう。
"Can you tell me the way to the nearest station?",最寄りの駅までどうやっていけばいいですか？
"There is a long line in front of the checkout counter.",レジの前に長い列ができている。
"You need to get a health examination regularly.",定期的に健康診断をした方がいいですよ。
"We have all-you-can-eat Yakiniku for two hours!",2時間、焼肉食べ放題をやってます。
"The situation is beginning to change for the better.",状況は好転し始めている。
"She changed her mind after she saw the price.",彼女は値段を見て気が変わった。
"She needed to stay in bed because she was sick.",彼女は具合が悪いので、寝ていなければならなかった。
"I wish I'd never gotten involved with this project.",このプロジェクトに関わらなければ良かったのに。
"Don’t give up easily on what you are working on.",取り組んでいることを簡単に諦めないでください。
"Stress causes different problems for different people.",ストレスは、人によって異なる問題を引き起こします。
"It's better to get there too early than too late.",遅すぎるよりは早すぎる方がいいでしょう。
"When you eat your fish, watch out for bones.",魚を食べる時は骨に気をつけて。
"You have to talk her into changing her mind.",彼女に考えを変えるよう、説得してください。
"My exams are just around the corner.",私の試験はもうすぐです。
"I might have left my purse in your car.",あなたの車の中にバッグを忘れてきたかもしれません。
"I'm good at negotiating a salary.",給料を交渉することが得意です。
"I forgot to tell her about today's afternoon tea.",彼女に今日のアフタヌーンティーのこと伝えるの忘れてた。
"Would you mind turning the volume a little bit lower?",悪いんだけど、音量をもう少し下げてもらえる？
"You'd better not talk back to the police officer.",警察に口ごたえしない方がいいよ。
"It was nice hearing from you the other day.",この間は連絡をありがとう。
"Sorry to bother you, but can you do me a favor?",お忙しいところ悪いけど、お願いしてもいいですか？
"It's almost time for me to start cooking dinner.",もうすぐ夕食をつくる時間だ。
"I apologize for not meeting your request.",ご希望に添えず、申し訳ありません。
"I wonder why she's such a mean person.",あの子って、なんであんなに意地悪なのかな。
"How do you think happiness can be measured?",幸福度はどうやって測れると思いますか？
"Take your jacket. It'll get cold after dark.",上着を持っていきなよ。日が暮れると寒くなるよ。
"Can I use this when talking to my supervisor?",今の言い方は目上の人や上司に使えますか？
"Nothing makes me happier than my family being happy.",家族の幸せが私の幸せ
"Where’s the beer I kept in the fridge?",冷蔵庫に入れて置いたビールはどこだ？
"I took my place at the tail of the line.",列の一番後ろに並んだ。
"The girl playing soccer with the boys is Mika.",男の子たちとサッカーをやっている女の子はミカだよ。
"The hotel charged me $50 for losing our room key!",鍵をなくしたらホテルが50ドルも請求してきた！
"You know, I just don't think it's a good idea.",やっぱり、いい考えだとは思えないんだよね。
"That's how dogs express their love.",犬はそうやって愛情を表現するんだよ。
"I'll try to persuade my Dad to give us a ride.",僕たちを車で送ってくれるように父を説得してみるよ
"I had my iPod pinched from my school bag.",学校のカバンからipodを盗まれた。
"Make sure that all of you arrive at 10.",みなさん、10時に着くようにしてくださいね。
"Mom doesn't understand that I want to live my own life.",母さんは僕が自分の人生を生きたいってことを理解しない
"Is it OK if I tell my friends about it?",このこと、友達に話してもいいかな？
"The teacher explained why bullying is bad.",先生はなぜいじめが悪いのか説明した
"If it's OK with you, could you take out the garbage?",よかったらゴミ出ししてもらっていい？
"Do you know where the nearest convenience store is?",一番近いコンビニどこか知ってる？
"There's a free shuttle bus that runs between the airport terminals.",空港ターミナル間では無料のシャトルバスが運行しています。
"I'm gonna go ahead and inside, if it's OK with you.",もしよかったら、先に中に入って待っているよ。
"The Internet has brought many changes to our everyday lives.",インターネットは私たちの日常生活に多くの変革をもたらした。
"The number of students is falling every year.",学生の数は毎年減っている。
"I'd like to book the ticket for noon, if it's OK with you.",それでよければ、正午のチケットを予約しようと思うけど。
"What happened to him after he rose to fame?",名声を得た後、彼に何が起こったのか？
"Someone's at the door. It must be the delivery boy.",誰か来たみたい。きっと宅配便だ。
"The days pass too quickly when you're on holiday.",休暇だと日が過ぎるのがものすごく速いよね。
"We can take up to 100 guests in our restaurant.",私たちのレストランは100名まで入れます。
"The government should put more emphasis on education.",政府はもっと教育に力を入れるべきだと思う。
"We'll never get there on time with all this traffic",こんな渋滞じゃ時間どおり着けないよ。
"I have to get all this work done by this afternoon.",今日の午後までに全部仕事終わらせなくちゃならないんだよ。
"My husband hardly ever listens to my opinion.",夫はほとんど私の意見を聞かない。
"I don't want to talk about that right now.",それについて、今は話したくないな。
"When I saw her face. I knew that something was wrong.",彼女の顔を見たとき、何か悪いことが起こったと気がついた。
"Would you please write your name here?",ここに名前を書いてくれませんか。
"Why don't you come to the movies with me？",僕と一緒に映画を見に行きませんか？
"I wish he were a little more communicative.",彼がもうちょっと社交的ならよかったのに。
"I was born in Japan and grew up in England.",私は日本で生まれ、イギリスで育ちました。
"Do you have any information on this matter?",この件について何か情報はありますか？
"The newspaper said it was going to rain.",新聞には雨が降ると書かれていた。
"How many times a week do you study English?",週に何回英語を勉強しますか？
"Ken may not be young, but he is full of energy.",ケンは若くないかもしれませんが、元気いっぱいです。
"I'd better write that down, or I'm likely to forget it.",メモしておいたほうが良いな。忘れちゃいそうだから。
"How long have you been studying English?",どれくらいの期間、英語を勉強してきましたか？
"Each person needs to order at least one menu item.",お1人につき1品はご注文ください。
"As far as we know, the earth is the only planet to have oceans.",私たちの知る限りでは、地球は唯一海がある惑星だ。
"I know, but anything could happen at anytime.",だけど、いつ何が起きてもおかしくないよ。
"It drives me crazy when people ask me the same question again and again.",同じ質問を何度もされるとイラッとする。
"In short, you are not suited for this job.",要するに、あなたはこの仕事に向いていない。
"It started raining. I’m sorry but I need to take the laundry off the line.",雨が降って来たので、洗濯物を取り込んで来ます。
"It doesn't matter whether you answer or not.",返事はしなくてもいいよ。
"My phone is ringing. Can we pause a moment?",電話がかかってきたので、しばらく待ってくれますか？
"It's a waste of money to rent. You should buy it.",賃貸なんてもったいない。買った方がいいよ。
"I can’t go anywhere because the weather is bad.",天気が悪いので、どこにも行けません。
"This is no time to be arguing with each other.",今は言い争いしてる場合じゃないよ。
"I’m on my way now. So I’ll call you when I get there.",今帰宅中なので、着いたらかけ直します。
"What about the plan we discussed yesterday?",昨日話し合った計画はどうするんだ？
"I can’t hear you because of your background noise.",周りの音がうるさくて、よく聞こえません。
"How is the weather going to be today?",今日の天気はどうかな？
"Could you tell me how to share my screen?",こちらの画面を共有するにはどうすればいいですか？
"What do you think about your personality?",あなたは自分の性格についてどう思いますか？
"Commuting is a tough thing for office workers.",通勤は会社員にとってつらいことの一つです。
"ZEN is searching for the truth of who you are.",禅とは、自分の本質を探す過程です。
"I had great difficulty in learning English verbs.",英語の単語を覚えるのに苦労した。
"The air is crisp and clear in Winter.",冬は空気が澄んでいます。
"We have a staff meeting every Monday.",私たちは毎週月曜日にスタッフミーティングを行っています。
"The train had just left when I arrived at the station.",駅に着いた時に、電車はちょうど出発していた。
"Give more attention to this problem.",もっとこの問題に注意を向けましょうよ。
"I will have finished my homework by the time he comes.",彼が来るまでに宿題を終えるでしょう。
"I had just put the washing out when it started to rain.",雨が降り始めた時、洗濯物を外に干してしまったばかりでした。
"That was the worst speech I have ever heard.",あんな酷いスピーチは聞いたことがない。
"A drowning man will catch at a straw.",溺れる者は藁をも掴む
"Please draw the map to the post office here.",ここに郵便局に行く道を描いて下さい。
"How can I make reservations for the lesson?",どうやってレッスンの予約をすればいいですか？
"The nice weather enabled me to go shopping.",天気が良かったので、買い物に行くことができた。
"Did you play a musical instrument when you were a kid?",子供の頃、楽器を演奏してましたか？
"I was so nervous I almost threw up.",緊張して吐きそうだった。
"How can you be calm and relaxed all the time?",どうやったら、いつも落ち着いてリラックスしていられるの？
"I don't care about what my parents say.",親がなんと言おうと気にしない。
"How did you know he was the one?",彼が運命の人だってどうやってわかったの？
"You may eat anything so long as you don't eat too much.",食べすぎなければ、何を食べてもかまいません。
"I couldn't help buying these pretty shoes.",この靴が可愛かったから買わずにいられなかった。
"Sorry to disappoint you, but I think you're wrong.",ガッカリさせて悪いけれど、私はあなたが間違っていると思う。
"I'm afraid you have the wrong number.",失礼ですが、番号が間違っていますよ。
"If you don't need dinner, will you call me?",夕食いらないなら電話してね。
"It depends on the quality of the product.",製品の品質次第だね。
"Ken made believed he was sick to avoid going to school.",ケンは学校へ行かずにすむように、病気のふりをした。
"It was great to hear from you the other day.",先日は連絡をもらえてよかった。
"Who'll take care of the dog while we are gone?",私たちが留守の間、誰が犬の世話をするの？
"I think you should follow your heart.",自分の気持ちに正直になったほうがいいよ。
"French is spoken in Canada as well as in France.",フランス語はフランスだけでなくカナダでも話されています。
"It takes longer to dry because of the humidity.",湿気が多いから、なかなか乾かない。
"What would you have done in my situation?",私の立場ならどうしてた？
"Go down this street till you get to the supermarket.",スーパーが見えてくるまで直進してください。
"Would you like your bread, toasted or untoasted?",パンは焼いたのと焼いてないのどっちがいい？
"He has blue eyes.",彼は青い目をしている。
"Can I have a snack?",おやつ食べてもいい？
"I have school tomorrow.",明日は学校がある
"Let's have a break.",ちょっと休もう。
"I have a meeting at 10.",10時に打ち合わせがある。
"I have a lot to do.",やることがいっぱいある。
"Do you have work tomorrow?",明日、仕事あるの？
"I have an appointment.",予約してます。
"I have nothing to say.",言うことはありません。
"Do you have any questions?",何か質問はありますか？
"Ken has long hair.",ケンは髪が長い。
"I have good eyesight.",僕は視力がいい。
"He has a good taste in clothes.",彼は服のセンスがいい。
"I have a bad sense of direction.",僕は方向音痴なんだ。
"have a taste.",ちょっと味見してみて。
"I have a cold.",風をひいた。
"I have a sore throat.",喉が痛い。
"Do you have time to help me?",手伝える時間ある？
"Do you have feelings for him?",彼のこと好きなの？
"Have a look at this.",これ見て！
"I had an accident.",事故にあった。
"Did you have a nightmare?",悪い夢を見たの？
"I'll have this.",これをください。
"I'll have water.",水をください。
"I have three children.",私には三人の子供がいます。
"My son has two dogs.",息子は2匹の犬を飼っています。
"You have a good memory.",あなたは記憶力がいいですね。
"I have things to ask you.",あなたに聞きたいことがある。
"I had an apple pie.",アップルパイを食べました。
"I had coffee this morning.",今朝コーヒーを飲みました。
"This room has two windows.",この部屋には窓が二つある。
"I had an amazing time.",素敵な1日を過ごした。
"I had a phone call from my mother this morning.",今朝、母からの電話があった
"I have a business in Osaka.",大阪に用がある。
"He has no faults.",彼には欠点がありません。
"My English has a long way to go.",私の英語はまだまだだ。
"He has never been to Tokyo.",彼は東京に行ったことがない。
"My car has a car navigation system.",私の車にはカーナビが搭載されています。
"Have you ever had a broken leg?",足の骨を折ったことはありますか？
"Tokyo has a population of 10 million people.",東京の人口は1000万人です
"May I have your name, please?",お名前を頂けますか？
"I wanna eat something.",何か食べたい。
"I wanna be myself.",自分らしくいたい。
"I just wanna say one thing!",一つ言わせて貰いたいです！
"Let me check.",確認しますね。
"Let me know what you think.",意見をきかせて
"Thanks for coming.",来てくれてありがとう。
"Thanks for everything.",色々ありがとう。
"Thank you for your cooperation.",ご協力ありがとうございます。
"Don't be so serious.",深刻にならないで。
"Don't be late.",遅れないで。
"Don't forget to water the plants while I'm gone.",留守の間、植物に水をやるのを忘れないで。
"Don't forget your umbrella.",傘を忘れないで。
"Don't forget to put out the fire.",火を消すのを忘れないで。
"There's a reason for this.",これには理由があるんです。
"There are four people in my family.",私の家族は4人です。
"There is no signal here.",ここは電波が届いていない。
"I'm happy to hear that.",それを聞けてうれしいです。
"I'm happy to see you again.",またお会いできて嬉しいです。
"I'm always happy to answer questions.",いつでも喜んで質問にお答えします。
"I'm gonna do it.",僕がやるつもり。
"I'm gonna go shopping later. Wanna come?",この後買い物に行くんだけど、一緒に行かない？
"I'm going to cut my hair now.",これから髪の毛を切りに行ってくるよ。
"That sounds like a risky strategy.",それは、リスクを伴う戦略のように思える。
"That sounds like a long day!",長い一日だったみたいね。
"I'd like to ask you a favor.",お願いがあるんですが。
"I'd like to hear from you.",あなたの意見を聞かせてください。
"I’d like to have a cup of coffee.",コーヒーをお願いします。
"I enjoyed talking with you.",楽しくお話ができました。
"I enjoyed myself.",すごく楽しかったです。
"I enjoyed spending time with you.",楽しく過ごせました。
"I'm ready if you are.",あなたが良ければいつでもどうぞ。
"I wonder if it’s going to rain tomorrow.",明日は雨が降るかな。
"I wonder who is coming to the party.",誰がパーティに来るんだろう。
"I wonder why he is so late.",どうしてこんなに遅いんだろう。
"I’m going to Osaka tomorrow. I mean, on Sunday.",明日大阪に行きます。つまり、日曜ということです。
"I mean you are smart.",私が言いたいのは、あなたは賢い人だってことです。
"You should bring an umbrella. I mean, look at the sky.",傘を持って行った方がいい。つまりね、空を見てごらん。
"I forgot to tell you.",言い忘れました。
"I forgot to book the restaurant.",レストランを予約するの忘れてました。
"I forgot to bring my textbook.",教科書を持ってくるのを忘れた。
"It was nice talking to you.",お話できてよかったです。
"it was nice meeting you.",お会いできてよかったです
"It was nice running into you.",ばったり会えて良かったです。
"See you around.",また会おうね。
"See you then.",じゃあ、その時に会おう。
"It seems like this phone is broken.",この電話は壊れているようです。
"It seems that it will rain tomorrow.",明日は雨のようですね。
"It seems that she likes him.",彼女は彼が好きみたいだね。
"I used to believe in Santa Claus.",昔はサンタクロースを信じていた。
"I used to run every morning.",以前は毎朝走っていました。
"I used to go out drinking a lot.",昔はよく飲みに行ってました。
"I am used to working early morning.",早朝の仕事には慣れています。
"I‘m used to living alone.",一人暮らしには慣れています。
"I am used to taking a bus.",バスには慣れています。
"You must be tired.",疲れたでしょう。
"You must be really busy these days.",最近は本当にお忙しいのでしょう。
"You must be so excited!",すごく楽しみでしょうね！
"I'm afraid I can't.",残念ながら、できません。
"I’m afraid that I can't attend the meeting.",残念ですが、出席できません。
"I’m afraid that I can’t help you.",残念ながら、お力になれません。
"I’m sure you will pass the exam.",きっと試験に合格しますよ。
"I’m sure she can do it.",彼女ならきっとできるはずだ。
"I’m sure she’ll be glad to hear that.",きっと彼女も喜んでくれるでしょう。
"Have a nice trip.",良い旅を。
"Have a nice day.",良い一日を。
"Have a nice weekend.",良い週末を。
"It's time to eat lunch.",昼食の時間です。
"It's time to go to bed,",そろそろ寝る時間です。
"It's time to study.",勉強の時間です。
"Tell me about yourself.",ご自身のことを教えてください。
"Tell me about your typical day.",あなたの一日の流れを教えてください。
"Tell me about your family.",ご家族のことを教えてください。
"I feel like eating pizza.",ピザが食べたくなりました。
"I feel like playing tennis today.",今日はテニスをしたい気分です。
"I don’t feel like doing anything today.",今日は何もする気にならない。
"I don't care about anyone.",誰のことも気にしません。
"I don't really care about the rumors.",噂なんてどうでもいいんです。
"I don't care about others.",他人のことは気にしない。
"I'm not sure what you mean.",意味がよくわからないのですが。
"I'm not sure you remember me.",私のこと覚えているかしら。
"I'm not sure if he loves me.",彼が私を愛しているかどうかわからない。
"I'm good at cooking.",料理が得意です。
"I'm good at playing tennis.",テニスは得意なんです。
"I'm not good at English.",英語は得意ではないんです。
"You don't have to read this book.",この本は読まなくてもいいんです。
"I don't have to make lunch.",お弁当を作らなくていいんです。
"You don't have to wait on me.",待たないでいいんだよ
"You'd better watch out.",気をつけたほうがいいよ。
"You'd better not cry.",泣かない方がいい。
"You'd better ask someone.",誰かに聞いたほうがいい
"I don't mind your staying here.",ここにいてもいいんだよ。
"I don't mind you using my bike.",私の自転車を使ってくれて構わないよ。
"I don't mind leaving at six o'clock.",6時に出発でも構いませんよ。
"Can I ask you a favor?",お願いがあるんですが？
"Can I use your bathroom?",トイレをお借りしてもいいですか？
"Can I call you later?",後で電話してもいいですか？
"How’s the project going ?",プロジェクトの進捗はいかがですか？
"How is your married life going?",結婚生活はいかがですか？
"Do you like sports?",スポーツは好きですか？
"Do you like my car?",私の車、気に入りましたか？
"Do you like the weather in your hometown?",ふるさとの気候は好きですか？
"Do you want to meet me next Sunday?",今度の日曜日に会いませんか？
"Do you want to walk with me?",一緒に散歩しない？
"Do you have a minute?",ちょっと時間ありますか？
"Do you have any siblings?",兄弟はいらっしゃいますか？
"Is there any update?",アップデートはありますか？
"Is there any problem?",何か問題はありますか？
"Is there any idea?",何かアイデアはありますか？
"How did you get my number?",どうやって私の番号を知ったの？
"How did you come here?",どうやってここに来たんですか？
"Are you ready to order?",ご注文はお決まりですか？
"Are you ready for bed?",寝る準備はできた？
"How come you think so?",どうしてそう思うんですか？
"How come you don't call me?",どうして電話をくれないの？
"How come I sweat so much?",どうしてこんなに汗をかくんだろう？
"Do you mind if I ask?",聞いてもいいですか？
"Do you mind if I take a seat here?",ここに座っていてもいいですか？
"Is it okay if I smoke here?",タバコを吸ってもいいですか？
"What did you think of that movie?",あの映画はどうでしたか？
"What do you think of me?",私のことをどう思う？
"What do you think of my new haircut?",新しい髪型はどうかな？
"Should I stay?",私はここに残った方がいいですか？
"Should I go to the gym every day?",毎日ジムに通った方がいいのでしょうか？
"Should I do it?",やったほうがいい？
"Do you know how to get there?",行き方を知っていますか？
"Do you know how to use them?",使い方を知っていますか？
"Do you know how to bake a cake?",ケーキの焼き方を知っていますか？
"Have you ever been abroad?",海外に行ったことはありますか？
"Have you ever seen her dance?",彼女のダンスを見たことがありますか？
"Have you ever eaten sushi?",お寿司を食べたことがありますか？
"How was your holiday?",休暇はいかがでしたか？
"How was the party?",パーティーはいかがでしたか？
"How about your thoughts?",皆さんの感想はいかがでしょうか。
"How about his lifestyle?",彼のライフスタイルはどうですか？
"Where can I buy stamps?",切手はどこで買えますか？
"Where can I use apple pay?","apple payはどこで使えますか？"
"Where can I play football near me?",近くでサッカーができるのはどこですか？
"How many rooms are there in your house?",あなたの家には何部屋ありますか？
"How many days will you stay there?",何日間滞在されますか？
"How many times did you go?",何度行ったことがありますか？
"How is the soup?",スープのお味はいかがですか？
"How is your mother?",お母さんの調子はどうですか？
"How is your new workplace?",新しい職場はどうですか？
"Is it ok if I call you?",電話してもいいですか？
"Is it ok if I borrow your phone?",電話を借りてもいいですか？
"When can I see you again?",次はいつ会えますか？
"When can I go to Japan?",日本にはいつ行けますか？
"When can I go outside?",いつから外に出られますか？
"How can I sleep better?",どうしたらよく眠れますか？
"How can I contact him?",どうしたら彼に連絡できますか？
"How can I lose weight fast?",どうしたら早く痩せられますか？
"Do I have to see a doctor?",医者に診てもらわなければいけませんか？
"Do I have to go to college ?",大学に行かなければならないのですか？
"Do I have to answer that question?",その質問に答えないといけませんか？
"Don’t you think so？",そう思いませんか？
"Don’t you think it is good？",美味しいと思いませんか？
"Don't you think he looks tired？",彼が疲れているように見えませんか？
"Make sure to check.",必ず確認してください。
"Make sure to use it.",必ず使ってください。
"Make sure to keep a distance.",必ず距離をあけてください。
"I'm planning to go on a trip.",旅行に行こうと思っています。
"I'm planning to visit you.",お邪魔しようと思ってます。
"I'm planning to go to a party tonight.",今夜はパーティーに行く予定です。
"It's worth a try.",試してみる価値はあります。
"It's worth a visit.",一度訪れてみる価値はあります。
"It's worth the wait.",待つだけの価値はあります。
"That's what I meant.",まさに私が意図したことなんです。
"That’s exactly what I was looking for.",まさに私がさがしていたものです。
"I didn't mean to rush you.",急かすつもりはなかったんだ。
"I didn't mean to hurt you.",傷つけるつもりはなかったんだ。
"I didn't mean to offend you.",悪気はなかったんです。
"I wish I could say that.",そう言えたら良かったのに。
"I wish he was single.",彼が独身だったら良かったのに。
"I wish I could turn back time.",時間を戻せたらいいのに。
"I should have known better",もっと知っておくべきでした。
"I should have stayed at home.",家にいればよかった。
"I should have gone there.",行っておけばよかった。
"According to the weather forecast, it will improve today.",天気予報によると、今日は天気が回復するそうです。
"According to my iPhone, the movie is 90 minutes long.",iPhoneによると、映画の長さは90分です。
"According to this map, it's on the second floor.",この地図によると、2階にあります。
"I might have eaten something bad.",何か悪いものを食べてしまったかもしれない。
"I might have taken a different route.",別の道を進んでいたかもしれません。
"I might have lost my wallet.",財布をなくしたかもしれない。
"I’d rather eat at home.",どちらかと言うと、家で食べたいです。
"I’d rather drink wine.",どちらかと言うと、ワインが飲みたいです。
"I’d much rather watch TV.",テレビを見るほうがよっぽどいい。
"No wonder you should be angry.",怒るのも無理はありません。
"No wonder you look sleepy.",どうりで眠そうな顔をしているわけだ。
"No wonder you're so tired.",あなたが疲れるのも当然だよ。
"You mean I'm just your friend.",私はただの友達ってこと？
"You mean I'm a liar.",私が嘘つきだってこと？
"You mean you have to go.",行かなくちゃいけないってことですね。
"You are second, right?",あなたが二番目であってますか？
"I can get the ticket, right?",チケットを買えるんですよね？
"I completed the booking on Saturday, right?",土曜の予約は完了したってことですよね？
"That's why I'm here.",そのせいで、私はここにいるんです。
"That's why I like it.",そういうわけで、好きなんです。
"That's why I got confused.",そういうわけで混乱してしまったんです。
"I told you I can't move.",私は動けないと言ったでしょう。
"I told you not to drink so much cola!",コーラをそんなにたくさん飲んじゃダメ、って言ったでしょう！
"I told you I was busy.",忙しいって言ったでしょ。
"As far as I know, this is the latest edition.",私の知る限りでは、これが最新版です。
"As far as I know, it is the oldest site in the world.",私が知る限りでは、世界最古のものでしょう。
"As far as I know, he's a nice guy.",私が知る限り、彼はいいやつだ。
"I'm looking forward to it.",楽しみにしています。
"I'm looking forward to your reply.",お返事をお待ちしています。
"I'm really looking forward to my vacation.",休暇が本当に楽しみなんです。
"That's because it's all true.",それは全部真実だからだよ。
"That's because I miss you.",あなたに会えなくて寂しいからだよ。
"That's because you're so good at English!",それは君がとても英語が得意だからよ！
"I’ve been to Paris.",パリに行ったことがあります。
"Have you ever been to Canada?",カナダに行ったことがありますか？
"I have been to America many times.",私は頻繁にアメリカに行く。
"Congratulations on your promotion!",昇進おめでとう！
"Congratulations on your graduation!",卒業おめでとう！
"Congratulations on your tenth anniversary.",10周年、おめでとうございます。
"Why don't you try it?",試してみてはどうですか？
"Why don't you practice in the garden?",庭で練習したらどう？
"Why don't you call it a night?",もう今夜は終わりにしたら？
"I'm kind of sleepy.",ちょっと眠いな。
"I'm kind of busy this week.",今週はちょっと忙しいんだ。
"I'm kind of hot in this uniform.",この制服を着ていると、ちょっと暑いんだ。
"You know, he was my classmate.",ほら、彼は私の同級生だったでしょう？
"You know, the restaurant by the beach.",ほら、あの海辺のレストランでさ。
"You know that guy we met at the party yesterday?",ほら、あの昨日パーティであった男の人いたじゃない？
"I know, but you have to tell someone.",分かるけど…誰かに話した方がいいよ。
"I know, but what does that have to do with me?",そうだね、でも私に何の関係があるの?
"I know, but I hate it!",そうだね、だけど嫌いなの！
"That's a waste of money.",お金の無駄だね。
"That meeting was a waste of time.",あの会議は時間の無駄だった。
"It depends on how you look at it.",それは見方によるね。
"It depends on when you go.",君がいつ行くか次第だね。
"It depends on the question.",質問次第だね。
"Actually, I'm really into jogging at the moment.",実は、今ジョギングにハマっています。
"I'm into yoga.",ヨガにハマってます。
"I'm into Japanese food.",和食にハマってます。
"I'm in the car now.",今、車の中だよ。
"I'm in a lot of trouble.",とても困っている。
"I'm in class right now.",今、授業中です。
"I'm on vacation.",休暇中です。
"You look sleepy.",眠そうだね。
"You look more relaxed than before.",前よりはリラックスした感じだね。
"What does your dog look like?",あなたの犬はどんな犬ですか？
"In short, he is a man with big ambitions.",つまり、彼はとても野心家ということです。
"In short, I don't like her.",要するに私は彼女が嫌いなんだ。
"n short, you don't have enough money, do you?",つまり、君は金が足りないんだろう？
"It doesn't matter to me where you live.",あなたがどこに住んでるかなんて私には関係ない。
"It doesn't matter anymore.",それはもうどうでもいいんだ。
"It doesn't matter when you come.",いつ来てもかまわないよ。
"It was a shame.",残念だった。
"It's a shame there is no other way.",他に方法がないのは残念だ。
"It's a shame I can't meet you.",あなたに会えないのは残念です。
"Would you like something to drink?",何かお飲みになりますか？
"Would you like coffee or tea?",コーヒーか紅茶はいかがですか？
"Would you like to have dinner with me?",私と夕食でもいかがですか？
"If you don't mind, would you explain it in more detail?",もしよければ、もっとくわしく説明してもらえますか？
"Would you mind if I turned the TV on?",テレビをつけていいですか？
"Would you mind if I smoke?",たばこを吸ってもいいですか？
"I apologize for the delay.",遅れて申し訳ありません。
"I apologize for the incorrect documents.",書類に不備があり申し訳ありません。
"I apologize for the inconvenience.",ご迷惑をおかけして申し訳ございません。
"I'm sorry to bother you, but would you do me a favor?",お忙しいところすみませんが、お願いしてもいいですか？
"I'm sorry to bother you, but can you show me the way?",お忙しいところすみませんが、道を教えてもらえますか？
"I'm sorry to bother you, but could you pick up the phone?",お忙しいところすみませんが、電話をとっていただけますか？
"It's a pleasure to meet you.",お会いできてうれしいです。
"It's a pleasure to work with you.",仕事をご一緒できてうれしいです。
"It's a pleasure to contact you.",あなたと連絡がとれてうれしいです。
"Could you speak more slowly, please?",もっと、ゆっくりしゃべってくれますか？
"Can you make it?",間に合いますか？
"Could you tell me how to use this?",この使い方を教えてもらえますか？
"May I ask you a favor?",お願いしたいことがあるんですが。
"May I help you?",いらっしゃいませ。
"Excuse me, but I think this is my seat.",すみません、ここは私の席だと思いますが。
"Excuse me, but where is the library?",すみません、図書館はどこですか？
"Excuse me, but could I say something here?",悪いけど、ひと言、言わせてもらえる？
"I appreciate your cooperation.",ご協力に感謝します。
"I appreciate your consideration.",ご配慮に感謝します。
"I’d love to keep talking to you, but I have to go.",あなたともっと話していたいけど、でも行かないといけません。
